weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
BP-ms-30,OSD-0,flag>=2,7,0.00035,0.92615,0,0,0,0,0,0,1.0,825298.669191198,0.08296273577672142,0.3490381467804222,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,flag>=3,7,0.00035,0.89545,0,0,0,0,0,0,1.0,1003258.1974460807,0.06169259161613492,0.20867094562594857,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,flag>=4,7,0.00035,0.8794,0,0,0,0,0,0,1.0,1137523.5073788688,0.03984819734345334,0.10276795772630343,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,rounds>=2,7,0.00035,0.92045,0,0,0,0,0,0,1.0,859327.2530891472,0.08059950041631973,0.32219779084194067,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,rounds>=3,7,0.00035,0.88745,0,0,0,0,0,0,1.0,1076014.9117897088,0.056286549707602225,0.15128342354293012,0.00016955101329104707,0.0007223576688892798
BP-ms-30,OSD-0,flag-only,896,0.0448,0.89255,0,889,0,0,889,0,4.845781754539109e-268,626846.1045581658,0.02296790095792949,0.5055694173037341,0.04201936378249311,0.04775547226699851
BP-ms-30,OSD-CS4,primary_fail,3,0.00015,0.87205,0,0,0,0,0,0,1.0,6963901.949044251,nan,0.0,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,flag>=1,3,0.00015,0.9703,0,0,0,0,0,0,1.0,6360475.519430724,0.11007786678617451,0.08665062116452449,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,flag>=2,3,0.00015,0.92615,0,0,0,0,0,0,1.0,6512385.066043298,0.08296273577672142,0.06483676627051316,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,flag>=3,3,0.00015,0.89545,0,0,0,0,0,0,1.0,6695111.653056579,0.06169259161613492,0.03859765659459946,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,flag>=4,3,0.00015,0.8794,0,0,0,0,0,0,1.0,6832168.207650793,0.03984819734345334,0.018916656546483668,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,rounds>=2,3,0.00015,0.92045,0,0,0,0,0,0,1.0,6547274.003570837,0.08059950041631973,0.05982679660367607,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,rounds>=3,3,0.00015,0.88745,0,0,0,0,0,0,1.0,6769324.245720178,0.056286549707602225,0.027940902205088824,5.101389475340828e-05,0.0004409716046718622
BP-ms-30,OSD-CS4,flag-only,892,0.0446,0.89255,0,889,0,0,889,0,4.845781754539109e-268,5799056.790855724,0.02296790095792949,0.16726903490483436,0.04182550483322408,0.04754940803351248
